season_label,year,class,district,round,game_num,date_time,tournament_id,team1,team1_id,team1_seed,team1_score,team1_winner,team2,team2_id,team2_seed,team2_score,team2_winner,margin,champion,champion_id,incomplete
2012-2013,2012,1,1,Final,1,May 15 @4:00 PM,97300,Delta (Deering),266,,1,False,Cooter,281,,5,True,4,Cooter,281,False
2012-2013,2012,1,1,Semifinals,2,May 14 @2:00 PM,97300,Risco,428,1,2,False,Delta (Deering),266,,3,True,1,Cooter,281,False
2012-2013,2012,1,1,Semifinals,3,May 14 @4:00 PM,97300,Cooter,281,,3,True,Southland,453,,2,False,1,Cooter,281,False
2012-2013,2012,1,1,Quarterfinals,5,May 13 @1:00 PM,97300,Gideon,300,4,1,False,Delta (Deering),266,5,4,True,3,Cooter,281,False
2012-2013,2012,1,1,Quarterfinals,6,May 13 @11:00 AM,97300,Cooter,281,2,16,True,North Pemiscot,389,7,0,False,16,Cooter,281,False
2012-2013,2012,1,1,Quarterfinals,7,May 13 @3:00 PM,97300,Southland,453,3,9,True,Clarkton,262,6,2,False,7,Cooter,281,False
2012-2013,2012,1,2,Final,1,May 14 @4:30 PM,97947,Oran,402,,6,True,Oak Ridge,401,,5,False,1,Oran,402,False
2012-2013,2012,1,2,Semifinals,2,May 13 @2:00 PM,97947,Oran,402,1,11,True,Scott County Central,436,,1,False,10,Oran,402,False
2012-2013,2012,1,2,Semifinals,3,May 13 @4:00 PM,97947,Bell City,211,2,2,False,Oak Ridge,401,,8,True,6,Oran,402,False
2012-2013,2012,1,2,Quarterfinals,5,May 11 @12:00 PM,97947,Advance,6,4,5,False,Scott County Central,436,5,6,True,1,Oran,402,False
2012-2013,2012,1,2,Quarterfinals,7,May 11 @10:00 AM,97947,Oak Ridge,401,3,17,True,Richland (Essex),425,6,1,False,16,Oran,402,False
2012-2013,2012,1,3,Final,1,May 15 @4:00 PM,97556,Leopold,340,,2,False,Naylor,373,,7,True,5,Naylor,373,False
2012-2013,2012,1,3,Semifinals,2,May 13 @2:00 PM,97556,Leopold,340,1,14,True,Viburnum,486,,1,False,13,Naylor,373,False
2012-2013,2012,1,3,Semifinals,3,May 13 @4:00 PM,97556,Naylor,373,,6,True,South Iron,448,,5,False,1,Naylor,373,False
2012-2013,2012,1,3,Quarterfinals,5,May 9 @3:00 PM,97556,Lesterville,341,4,0,False,Viburnum,486,5,16,True,16,Naylor,373,False
2012-2013,2012,1,3,Quarterfinals,6,May 9 @1:00 PM,97556,Naylor,373,2,11,True,Valley,480,7,0,False,11,Naylor,373,False
2012-2013,2012,1,3,Quarterfinals,7,May 9 @11:00 AM,97556,Bunker,248,3,4,False,South Iron,448,6,11,True,7,Naylor,373,False
2012-2013,2012,1,4,Final,1,May 14 @6:00 PM,97975,Bakersfield,9,,12,True,Eminence,282,,0,False,12,Bakersfield,9,False
2012-2013,2012,1,4,Semifinals,2,May 13 @6:30 PM,97975,Bakersfield,9,1,15,True,Summersville,468,,2,False,13,Bakersfield,9,False
2012-2013,2012,1,4,Semifinals,3,May 13 @4:00 PM,97975,Eminence,282,2,7,True,Lutie,130,,6,False,1,Bakersfield,9,False
2012-2013,2012,1,4,Quarterfinals,5,May 11 @2:00 PM,97975,Summersville,468,4,11,True,Koshkonong,98,5,8,False,3,Bakersfield,9,False
2012-2013,2012,1,4,Quarterfinals,7,May 11 @4:00 PM,97975,Couch,283,3,5,False,Lutie,130,6,9,True,4,Bakersfield,9,False
2012-2013,2012,1,5,Final,1,May 14 @5:30 PM,97685,Dadeville,263,,13,True,Halfway,310,,3,False,10,Dadeville,263,False
2012-2013,2012,1,5,Semifinals,2,May 13 @5:00 PM,97685,Dadeville,263,1,3,True,Everton,286,,2,False,1,Dadeville,263,False
2012-2013,2012,1,5,Semifinals,3,May 13 @7:00 PM,97685,Halfway,310,2,10,True,Fair Play,291,,0,False,10,Dadeville,263,False
2012-2013,2012,1,5,Quarterfinals,5,May 11 @11:00 AM,97685,Niangua,381,4,1,False,Everton,286,5,7,True,6,Dadeville,263,False
2012-2013,2012,1,5,Quarterfinals,7,May 11 @1:00 PM,97685,Fair Play,291,3,18,True,Walnut Grove,488,6,3,False,15,Dadeville,263,False
2012-2013,2012,1,6,Final,1,May 15 @4:00 PM,97910,Golden City,303,,6,False,McAuley Catholic,568,,7,True,1,McAuley Catholic,568,False
2012-2013,2012,1,6,Semifinals,2,May 14 @4:00 PM,97910,Greenfield,18,1,4,False,Golden City,303,,5,True,1,McAuley Catholic,568,False
2012-2013,2012,1,6,Semifinals,3,May 14 @6:00 PM,97910,Hurley,324,2,1,False,McAuley Catholic,568,,5,True,4,McAuley Catholic,568,False
2012-2013,2012,1,6,Quarterfinals,5,May 13 @4:00 PM,97910,Golden City,303,4,12,True,Lockwood,126,5,11,False,1,McAuley Catholic,568,False
2012-2013,2012,1,6,Quarterfinals,7,May 13 @1:00 PM,97910,McAuley Catholic,568,3,4,True,Exeter,400,6,0,False,4,McAuley Catholic,568,False
2012-2013,2012,1,7,Final,1,May 14 @5:00 PM,97619,Drexel,275,,7,True,Sheldon,438,,0,False,7,Drexel,275,False
2012-2013,2012,1,7,Semifinals,2,May 13 @4:30 PM,97619,Drexel,275,1,11,True,Bronaugh,243,,1,False,10,Drexel,275,False
2012-2013,2012,1,7,Semifinals,3,May 13 @6:30 PM,97619,Sheldon,438,2,8,True,Northeast Vernon County,394,3,7,False,1,Drexel,275,False
2012-2013,2012,1,7,Quarterfinals,5,May 10 @4:30 PM,97619,Bronaugh,243,4,12,True,Hume,323,5,2,False,10,Drexel,275,False
2012-2013,2012,1,8,Final,1,May 14 @4:30 PM,97768,Hermitage,316,,3,False,Weaubleau,576,,16,True,13,Weaubleau,576,False
2012-2013,2012,1,8,Semifinals,2,May 13 @4:00 PM,97768,Humansville,322,1,11,False,Hermitage,316,,12,True,1,Weaubleau,576,False
2012-2013,2012,1,8,Semifinals,3,May 13 @6:30 PM,97768,Weaubleau,576,2,9,True,Lakeland,335,,5,False,4,Weaubleau,576,False
2012-2013,2012,1,8,Quarterfinals,5,May 11 @2:00 PM,97768,Wheatland,496,4,5,False,Hermitage,316,5,17,True,12,Weaubleau,576,False
2012-2013,2012,1,8,Quarterfinals,7,May 10 @4:30 PM,97768,Lakeland,335,3,9,True,Climax Springs,268,6,0,False,9,Weaubleau,576,False
2012-2013,2012,1,9,Final,1,May 15 @2:00 PM,97573,Tuscumbia,477,,1,False,Stoutland,464,,11,True,10,Stoutland,464,False
2012-2013,2012,1,9,Semifinals,2,May 13 @5:00 PM,97573,Macks Creek,349,1,12,False,Tuscumbia,477,,17,True,5,Stoutland,464,False
2012-2013,2012,1,9,Semifinals,3,May 13 @7:00 PM,97573,St. Elizabeth,458,2,1,False,Stoutland,464,,7,True,6,Stoutland,464,False
2012-2013,2012,1,9,Quarterfinals,5,May 11 @7:30 PM,97573,Tuscumbia,477,4,10,True,Crocker,288,5,9,False,1,Stoutland,464,False
2012-2013,2012,1,9,Quarterfinals,7,May 11 @5:30 PM,97573,Stoutland,464,3,14,True,Newburg,379,6,1,False,13,Stoutland,464,False
