season_label,year,class,district,round,game_num,date_time,tournament_id,team1,team1_id,team1_seed,team1_score,team1_winner,team2,team2_id,team2_seed,team2_score,team2_winner,margin,champion,champion_id,incomplete
2012-2013,2012,1,1,Final,1,Feb 22 @7:30 PM,92244,Risco,428,,67,True,Naylor,373,,53,False,14,Risco,428,False
2012-2013,2012,1,1,Semifinals,2,Feb 19 @6:00 PM,92244,Risco,428,,96,True,North Pemiscot,389,,44,False,52,Risco,428,False
2012-2013,2012,1,1,Semifinals,3,Feb 19 @7:30 PM,92244,Clarkton,262,,47,False,Naylor,373,,63,True,16,Risco,428,False
2012-2013,2012,1,1,Quarterfinals,4,Feb 18 @4:00 PM,92244,Risco,428,1,93,True,Koshkonong,98,8,39,False,54,Risco,428,False
2012-2013,2012,1,1,Quarterfinals,5,Feb 18 @7:00 PM,92244,North Pemiscot,389,4,65,True,Delta (Deering),266,5,48,False,17,Risco,428,False
2012-2013,2012,1,1,Quarterfinals,6,Feb 18 @5:30 PM,92244,Clarkton,262,2,89,True,Southland,453,7,47,False,42,Risco,428,False
2012-2013,2012,1,1,Quarterfinals,7,Feb 18 @8:30 PM,92244,Naylor,373,3,53,True,Gideon,300,6,50,False,3,Risco,428,False
2012-2013,2012,1,2,Final,1,Feb 22 @7:30 PM,92361,Leopold,340,,58,False,Scott County Central,436,,64,True,6,Scott County Central,436,False
2012-2013,2012,1,2,Semifinals,2,Feb 19 @6:30 PM,92361,Leopold,340,,87,True,Richland (Essex),425,,47,False,40,Scott County Central,436,False
2012-2013,2012,1,2,Semifinals,3,Feb 19 @8:00 PM,92361,Oak Ridge,401,,55,False,Scott County Central,436,,76,True,21,Scott County Central,436,False
2012-2013,2012,1,2,Quarterfinals,4,Feb 16 @4:30 PM,92361,Leopold,340,1,96,True,The Fulton School at St. Albans,513,8,16,False,80,Scott County Central,436,False
2012-2013,2012,1,2,Quarterfinals,5,Feb 16 @3:00 PM,92361,Richland (Essex),425,4,80,True,Delta,269,5,41,False,39,Scott County Central,436,False
2012-2013,2012,1,2,Quarterfinals,6,Feb 16 @1:30 PM,92361,Oak Ridge,401,2,69,True,McKinley Classical Leadership,811,7,40,False,29,Scott County Central,436,False
2012-2013,2012,1,2,Quarterfinals,7,Feb 16 @6:00 PM,92361,Scott County Central,436,3,101,True,Bell City,211,6,73,False,28,Scott County Central,436,False
2012-2013,2012,1,3,Final,1,Feb 20 @7:30 PM,91737,Eminence,282,,58,True,South Iron,448,,53,False,5,Eminence,282,False
2012-2013,2012,1,3,Semifinals,2,Feb 19 @6:00 PM,91737,Eminence,282,1,83,True,Bunker,248,,55,False,28,Eminence,282,False
2012-2013,2012,1,3,Semifinals,3,Feb 19 @7:30 PM,91737,South Iron,448,,82,True,Lesterville,341,,29,False,53,Eminence,282,False
2012-2013,2012,1,3,Quarterfinals,5,Feb 16 @6:00 PM,91737,Summersville,468,4,57,False,Bunker,248,5,59,True,2,Eminence,282,False
2012-2013,2012,1,3,Quarterfinals,6,Feb 16 @12:00 PM,91737,South Iron,448,2,97,True,Marquand-Zion,359,7,28,False,69,Eminence,282,False
2012-2013,2012,1,3,Quarterfinals,7,Feb 16 @4:30 PM,91737,Lesterville,341,3,45,True,Zalma,507,6,44,False,1,Eminence,282,False
2012-2013,2012,1,4,Final,1,Feb 22 @6:30 PM,92706,Hurley,324,,55,True,Verona,484,,52,False,3,Hurley,324,False
2012-2013,2012,1,4,Semifinals,2,Feb 19 @6:00 PM,92706,Hurley,324,,73,True,Exeter,400,,56,False,17,Hurley,324,False
2012-2013,2012,1,4,Semifinals,3,Feb 19 @7:30 PM,92706,Verona,484,,53,True,Niangua,381,,45,False,8,Hurley,324,False
2012-2013,2012,1,4,Quarterfinals,4,Feb 16 @2:00 PM,92706,Hurley,324,1,71,True,Chadwick,256,8,39,False,32,Hurley,324,False
2012-2013,2012,1,4,Quarterfinals,5,Feb 16 @3:30 PM,92706,Exeter,400,4,57,True,Lutie,130,5,44,False,13,Hurley,324,False
2012-2013,2012,1,4,Quarterfinals,6,Feb 16 @5:00 PM,92706,Verona,484,2,73,True,Bradleyville,238,7,38,False,35,Hurley,324,False
2012-2013,2012,1,4,Quarterfinals,7,Feb 16 @6:30 PM,92706,Niangua,381,3,60,True,Thomas Jefferson Independent,556,6,47,False,13,Hurley,324,False
2012-2013,2012,1,5,Final,1,Feb 23 @6:30 PM,91141,Fair Play,291,,76,True,Everton,286,,56,False,20,Fair Play,291,False
2012-2013,2012,1,5,Semifinals,2,Feb 22 @6:00 PM,91141,Fair Play,291,,64,True,Walnut Grove,488,,46,False,18,Fair Play,291,False
2012-2013,2012,1,5,Semifinals,3,Feb 22 @7:30 PM,91141,Everton,286,,74,True,Dadeville,263,,57,False,17,Fair Play,291,False
2012-2013,2012,1,5,Quarterfinals,4,Feb 19 @4:00 PM,91141,Fair Play,291,1,72,True,Halfway,310,8,39,False,33,Fair Play,291,False
2012-2013,2012,1,5,Quarterfinals,5,Feb 19 @5:30 PM,91141,Walnut Grove,488,4,50,True,Sheldon,438,5,44,False,6,Fair Play,291,False
2012-2013,2012,1,5,Quarterfinals,6,Feb 19 @7:00 PM,91141,Everton,286,2,68,True,Lockwood,126,7,49,False,19,Fair Play,291,False
2012-2013,2012,1,5,Quarterfinals,7,Feb 19 @8:30 PM,91141,Dadeville,263,3,58,True,Golden City,303,6,49,False,9,Fair Play,291,False
2012-2013,2012,1,6,Final,1,Feb 23 @1:00 PM,91852,Macks Creek,349,,67,True,Humansville,322,,55,False,12,Macks Creek,349,False
2012-2013,2012,1,6,Semifinals,2,Feb 20 @6:00 PM,91852,Macks Creek,349,,41,True,Hermitage,316,,39,False,2,Macks Creek,349,False
2012-2013,2012,1,6,Semifinals,3,Feb 20 @7:30 PM,91852,Wheatland,496,,51,False,Humansville,322,,62,True,11,Macks Creek,349,False
2012-2013,2012,1,6,Quarterfinals,4,Feb 18 @4:00 PM,91852,Macks Creek,349,1,72,True,Tuscumbia,477,8,53,False,19,Macks Creek,349,False
2012-2013,2012,1,6,Quarterfinals,5,Feb 18 @5:30 PM,91852,St. Elizabeth,458,4,35,False,Hermitage,316,5,38,True,3,Macks Creek,349,False
2012-2013,2012,1,6,Quarterfinals,6,Feb 18 @7:00 PM,91852,Wheatland,496,2,66,True,Climax Springs,268,7,60,False,6,Macks Creek,349,False
2012-2013,2012,1,6,Quarterfinals,7,Feb 18 @8:30 PM,91852,Weaubleau,576,3,48,False,Humansville,322,6,65,True,17,Macks Creek,349,False
2012-2013,2012,1,7,Final,1,Feb 23 @7:30 PM,92201,Drexel,275,,91,True,Appleton City,20,,34,False,57,Drexel,275,False
2012-2013,2012,1,7,Semifinals,2,Feb 20 @8:15 PM,92201,Drexel,275,,92,True,Ballard,210,,19,False,73,Drexel,275,False
2012-2013,2012,1,7,Semifinals,3,Feb 20 @5:45 PM,92201,Bronaugh,243,,69,False,Appleton City,20,,72,True,3,Drexel,275,False
2012-2013,2012,1,7,Quarterfinals,4,Feb 18 @4:30 PM,92201,Drexel,275,1,114,True,Northeast Vernon County,394,8,25,False,89,Drexel,275,False
2012-2013,2012,1,7,Quarterfinals,5,Feb 19 @7:00 PM,92201,Montrose,135,4,39,False,Ballard,210,5,54,True,15,Drexel,275,False
2012-2013,2012,1,7,Quarterfinals,6,Feb 18 @7:00 PM,92201,Bronaugh,243,2,85,True,Hume,323,7,47,False,38,Drexel,275,False
2012-2013,2012,1,7,Quarterfinals,7,Feb 19 @4:30 PM,92201,Appleton City,20,3,55,True,Miami,365,6,47,False,8,Drexel,275,False
2012-2013,2012,1,8,Final,1,Feb 22 @7:30 PM,92363,Pilot Grove,413,,51,True,Otterville,407,,46,False,5,Pilot Grove,413,False
2012-2013,2012,1,8,Semifinals,2,Feb 20 @7:30 PM,92363,Pilot Grove,413,,67,True,Chilhowee,260,,27,False,40,Pilot Grove,413,False
2012-2013,2012,1,8,Semifinals,3,Feb 20 @9:00 PM,92363,Leeton,339,,47,False,Otterville,407,,66,True,19,Pilot Grove,413,False
2012-2013,2012,1,8,Quarterfinals,4,Feb 19 @4:30 PM,92363,Pilot Grove,413,1,78,True,Kingsville,332,8,55,False,23,Pilot Grove,413,False
2012-2013,2012,1,8,Quarterfinals,5,Feb 19 @6:00 PM,92363,Chilhowee,260,4,55,True,Northwest (Hughesville),395,5,52,False,3,Pilot Grove,413,False
2012-2013,2012,1,8,Quarterfinals,6,Feb 19 @7:30 PM,92363,Leeton,339,2,53,True,Bunceton,247,7,37,False,16,Pilot Grove,413,False
2012-2013,2012,1,8,Quarterfinals,7,Feb 19 @9:00 PM,92363,Otterville,407,3,67,True,Calhoun,251,6,52,False,15,Pilot Grove,413,False
2012-2013,2012,1,9,Final,1,Feb 23 @6:00 PM,91590,Glasgow,302,,52,True,Community,274,,51,False,1,Glasgow,302,False
