season_label,year,class,district,round,game_num,date_time,tournament_id,team1,team1_id,team1_seed,team1_score,team1_winner,team2,team2_id,team2_seed,team2_score,team2_winner,margin,champion,champion_id,incomplete
2012-2013,2012,1,1,Final,1,Oct 31 @3:30 PM,86033,St. Pius X (Festus),552,,3,True,Saxony Lutheran,555,,1,False,2,St. Pius X (Festus),552,False
2012-2013,2012,1,1,Semifinals,2,Oct 27 @2:00 PM,86033,St. Pius X (Festus),552,1,10,True,Hancock,148,4,0,False,10,St. Pius X (Festus),552,False
2012-2013,2012,1,1,Semifinals,3,Oct 27 @4:00 PM,86033,Saxony Lutheran,555,2,4,True,Fredericktown,79,3,3,False,1,St. Pius X (Festus),552,False
2012-2013,2012,1,2,Final,1,Nov 2 @4:30 PM,85476,Bayless,10,,10,True,Metro/McKinley Classical Leadership,125,,0,False,10,Bayless,10,False
2012-2013,2012,1,2,Semifinals,2,Nov 1 @6:30 PM,85476,Bayless,10,1,11,True,Carnahan,777,,0,False,11,Bayless,10,False
2012-2013,2012,1,2,Semifinals,3,Nov 1 @4:30 PM,85476,Metro/McKinley Classical Leadership,125,2,5,True,Cleveland NJROTC,61,3,0,False,5,Bayless,10,False
2012-2013,2012,1,2,Quarterfinals,5,Oct 30 @4:30 PM,85476,Carnahan,777,4,3,True,Lift for Life Academy Charter,810,5,2,False,1,Bayless,10,False
2012-2013,2012,1,3,Final,1,Nov 1 @4:00 PM,86211,John Burroughs,524,,3,True,Crossroads College Preparatory,516,,0,False,3,John Burroughs,524,False
2012-2013,2012,1,3,Semifinals,2,Oct 30 @4:00 PM,86211,John Burroughs,524,1,6,True,Brentwood,19,,0,False,6,John Burroughs,524,False
2012-2013,2012,1,3,Semifinals,3,Oct 30 @4:00 PM,86211,Crossroads College Preparatory,516,2,2,True,Soldan International Studies,195,3,0,False,2,John Burroughs,524,False
2012-2013,2012,1,3,Quarterfinals,5,Oct 29 @4:00 PM,86211,Brentwood,19,4,1,True,Maplewood-Richmond Hts.,106,5,0,False,1,John Burroughs,524,False
2012-2013,2012,1,4,Final,1,Oct 30 @6:00 PM,86193,Trinity Catholic,557,,4,True,Whitfield,565,,1,False,3,Trinity Catholic,557,False
2012-2013,2012,1,4,Semifinals,2,Oct 29 @4:30 PM,86193,Trinity Catholic,557,1,3,True,North Technical,141,4,0,False,3,Trinity Catholic,557,False
2012-2013,2012,1,4,Semifinals,3,Oct 29 @6:30 PM,86193,Whitfield,565,2,3,True,Lutheran North,529,3,1,False,2,Trinity Catholic,557,False
2012-2013,2012,1,5,Final,1,Nov 2 @3:30 PM,86094,Principia,538,,5,True,Barat Academy,781,,1,False,4,Principia,538,False
2012-2013,2012,1,5,Semifinals,2,Oct 31 @3:30 PM,86094,Principia,538,1,6,True,The Fulton School at St. Albans,513,,0,False,6,Principia,538,False
2012-2013,2012,1,5,Semifinals,3,Oct 30 @3:30 PM,86094,Barat Academy,781,2,5,True,John F. Kennedy,525,3,2,False,3,Principia,538,False
2012-2013,2012,1,5,Quarterfinals,5,Oct 29 @3:30 PM,86094,Valley Park,481,4,2,False,The Fulton School at St. Albans,513,5,3,True,1,Principia,538,False
2012-2013,2012,1,6,Final,1,Nov 1 @5:00 PM,86214,Christian,812,,2,False,Canton,254,,4,True,2,Canton,254,False
2012-2013,2012,1,6,Semifinals,2,Oct 30 @4:00 PM,86214,Christian,812,1,4,True,Elsberry,52,,0,False,4,Canton,254,False
2012-2013,2012,1,6,Semifinals,3,Oct 30 @6:00 PM,86214,Canton,254,2,4,True,Lutheran St. Charles,528,3,2,False,2,Canton,254,False
2012-2013,2012,1,6,Quarterfinals,5,Oct 29 @4:00 PM,86214,Elsberry,52,4,2,True,Winfield,501,5,0,False,2,Canton,254,False
2012-2013,2012,1,7,Final,1,Nov 1 @6:00 PM,86269,Southern Boone,2,,5,True,Missouri Military Academy,569,,0,False,5,Southern Boone,2,False
2012-2013,2012,1,7,Semifinals,2,Oct 29 @5:00 PM,86269,Southern Boone,2,1,2,True,Boonville,16,,1,False,1,Southern Boone,2,False
2012-2013,2012,1,7,Semifinals,3,Oct 29 @7:00 PM,86269,Fulton,80,2,1,False,Missouri Military Academy,569,3,4,True,3,Southern Boone,2,False
2012-2013,2012,1,7,Quarterfinals,5,Oct 27 @2:00 PM,86269,Boonville,16,4,6,True,Montgomery County,370,5,0,False,6,Southern Boone,2,False
2012-2013,2012,1,8,Final,1,Oct 31 @6:00 PM,86298,Dixon,273,,0,False,Fatima,293,,3,True,3,Fatima,293,False
2012-2013,2012,1,8,Semifinals,2,Oct 29 @5:00 PM,86298,Dixon,273,1,10,True,Iberia,325,4,0,False,10,Fatima,293,False
2012-2013,2012,1,8,Semifinals,3,Oct 29 @7:00 PM,86298,Fatima,293,2,5,True,Belle,212,3,0,False,5,Fatima,293,False
2012-2013,2012,1,9,Final,1,Oct 29 @4:00 PM,85473,Osage,152,,0,False,Crocker,288,,3,True,3,Crocker,288,False
2012-2013,2012,1,9,Semifinals,2,Oct 27 @4:00 PM,85473,Osage,152,1,7,True,Richland,181,4,0,False,7,Crocker,288,False
2012-2013,2012,1,9,Semifinals,3,Oct 27 @2:00 PM,85473,Crocker,288,2,3,True,Laquey,581,3,2,False,1,Crocker,288,False
2012-2013,2012,1,10,Final,1,Nov 1 @7:00 PM,85933,Sacred Heart,573,,8,True,Stover,465,,1,False,7,Sacred Heart,573,False
2012-2013,2012,1,10,Semifinals,2,Oct 30 @7:30 PM,85933,Sacred Heart,573,1,6,True,Cole Camp,272,,1,False,5,Sacred Heart,573,False
2012-2013,2012,1,10,Semifinals,3,Oct 30 @5:30 PM,85933,Stover,465,2,3,True,Smithton,444,3,1,False,2,Sacred Heart,573,False
2012-2013,2012,1,10,Quarterfinals,5,Oct 29 @6:00 PM,85933,Cole Camp,272,4,1,True,Green Ridge,306,5,0,False,1,Sacred Heart,573,False
2012-2013,2012,1,11,Final,1,Nov 1 @6:00 PM,85958,Springfield Catholic,571,,5,True,Greenwood,567,,1,False,4,Springfield Catholic,571,False
2012-2013,2012,1,11,Semifinals,2,Oct 29 @4:30 PM,85958,Springfield Catholic,571,1,10,True,Fair Grove,290,4,0,False,10,Springfield Catholic,571,False
2012-2013,2012,1,11,Semifinals,3,Oct 29 @7:00 PM,85958,Greenwood,567,2,7,True,New Covenant Academy/The Summit Preparatory,533,3,1,False,6,Springfield Catholic,571,False
2012-2013,2012,1,12,Final,1,Nov 1 @5:00 PM,85014,Monett,133,,4,True,Cassville,40,,3,False,1,Monett,133,False
2012-2013,2012,1,12,Semifinals,2,Oct 30 @5:00 PM,85014,Monett,133,1,9,True,Aurora,30,,1,False,8,Monett,133,False
2012-2013,2012,1,12,Semifinals,3,Oct 30 @7:00 PM,85014,College Heights Christian/McAuley Catholic,574,2,2,False,Cassville,40,3,3,True,1,Monett,133,False
