season_label,year,class,district,round,game_num,date_time,tournament_id,team1,team1_id,team1_seed,team1_score,team1_winner,team2,team2_id,team2_seed,team2_score,team2_winner,margin,champion,champion_id,incomplete
2012-2013,2012,1,1,Final,1,Oct 8 @4:00 PM,85092,Naylor,373,,3,True,Oran,402,,1,False,2,Naylor,373,False
2012-2013,2012,1,1,Semifinals,2,Oct 4 @12:00 PM,85092,Naylor,373,1,1,True,Van Buren,482,,0,False,1,Naylor,373,False
2012-2013,2012,1,1,Semifinals,3,Oct 4 @2:00 PM,85092,Neelyville,374,2,1,False,Oran,402,,4,True,3,Naylor,373,False
2012-2013,2012,1,1,Quarterfinals,5,Oct 3 @4:00 PM,85092,Van Buren,482,4,8,True,Delta,269,5,0,False,8,Naylor,373,False
2012-2013,2012,1,1,Quarterfinals,7,Oct 3 @6:00 PM,85092,Oran,402,3,15,True,Winona,502,6,0,False,15,Naylor,373,False
2012-2013,2012,1,2,Final,1,Oct 4 @5:30 PM,85089,Dora,44,,10,True,Thayer,471,,0,False,10,Dora,44,False
2012-2013,2012,1,2,Semifinals,2,Oct 3 @6:00 PM,85089,Dora,44,1,9,True,Norwood,397,,0,False,9,Dora,44,False
2012-2013,2012,1,2,Semifinals,3,Oct 3 @4:00 PM,85089,Thayer,471,2,11,True,Bakersfield,9,,1,False,10,Dora,44,False
2012-2013,2012,1,2,Quarterfinals,5,Oct 3 @2:00 PM,85089,Norwood,397,4,9,True,Koshkonong,98,5,5,False,4,Dora,44,False
2012-2013,2012,1,2,Quarterfinals,7,Oct 3,85089,,,,,,,,,,,,Dora,44,True
2012-2013,2012,1,3,Final,1,Oct 8 @4:30 PM,84677,Jasper,327,,2,False,Billings,215,,6,True,4,Billings,215,False
2012-2013,2012,1,3,Semifinals,2,Oct 4 @4:30 PM,84677,Jasper,327,1,11,True,Wheaton,497,,1,False,10,Billings,215,False
2012-2013,2012,1,3,Semifinals,3,Oct 4 @6:30 PM,84677,Billings,215,2,11,True,Miller,369,3,1,False,10,Billings,215,False
2012-2013,2012,1,3,Quarterfinals,5,Oct 3 @5:00 PM,84677,Galena,298,4,1,False,Wheaton,497,5,9,True,8,Billings,215,False
2012-2013,2012,1,4,Final,1,Oct 6 @12:00 PM,84392,Weaubleau,576,,0,False,Walnut Grove,488,,6,True,6,Walnut Grove,488,False
2012-2013,2012,1,4,Semifinals,2,Oct 4 @5:00 PM,84392,Weaubleau,576,1,11,True,Halfway,310,,1,False,10,Walnut Grove,488,False
2012-2013,2012,1,4,Semifinals,3,Oct 4 @7:00 PM,84392,Dadeville,263,2,2,False,Walnut Grove,488,,11,True,9,Walnut Grove,488,False
2012-2013,2012,1,4,Quarterfinals,5,Oct 3 @5:00 PM,84392,Halfway,310,4,5,True,Fair Play,291,5,4,False,1,Walnut Grove,488,False
2012-2013,2012,1,4,Quarterfinals,7,Oct 3 @7:00 PM,84392,Walnut Grove,488,3,13,True,Humansville,322,6,0,False,13,Walnut Grove,488,False
2012-2013,2012,1,5,Final,1,Oct 8 @5:00 PM,85139,Hermitage,316,,0,False,Montrose/Appleton City,135,,11,True,11,Montrose/Appleton City,135,False
2012-2013,2012,1,5,Semifinals,2,Oct 6 @1:00 PM,85139,Hermitage,316,1,12,True,Climax Springs,268,,2,False,10,Montrose/Appleton City,135,False
2012-2013,2012,1,5,Semifinals,3,Oct 6 @3:00 PM,85139,Macks Creek,349,2,0,False,Montrose/Appleton City,135,,19,True,19,Montrose/Appleton City,135,False
2012-2013,2012,1,5,Quarterfinals,5,Oct 4 @6:00 PM,85139,Leeton,339,4,9,False,Climax Springs,268,5,11,True,2,Montrose/Appleton City,135,False
2012-2013,2012,1,5,Quarterfinals,7,Oct 4 @4:00 PM,85139,Montrose/Appleton City,135,3,8,True,Wheatland,496,6,0,False,8,Montrose/Appleton City,135,False
2012-2013,2012,1,6,Final,1,Oct 8 @5:00 PM,84465,St. Elizabeth,458,,2,True,Crocker,288,,0,False,2,St. Elizabeth,458,False
2012-2013,2012,1,6,Semifinals,2,Oct 4 @5:00 PM,84465,St. Elizabeth,458,1,10,True,Tuscumbia,477,,0,False,10,St. Elizabeth,458,False
2012-2013,2012,1,6,Semifinals,3,Oct 4 @6:30 PM,84465,Crocker,288,2,9,True,Newburg,379,,0,False,9,St. Elizabeth,458,False
2012-2013,2012,1,6,Quarterfinals,5,Oct 3 @5:00 PM,84465,Tuscumbia,477,4,9,True,Stoutland,464,5,2,False,7,St. Elizabeth,458,False
2012-2013,2012,1,6,Quarterfinals,7,Oct 3 @6:30 PM,84465,,,,,,,,,,,,St. Elizabeth,458,True
2012-2013,2012,1,7,Final,1,Oct 8 @6:00 PM,84582,New Franklin,377,,1,False,Harrisburg,313,,7,True,6,Harrisburg,313,False
2012-2013,2012,1,7,Semifinals,2,Oct 4 @5:00 PM,84582,New Franklin,377,1,15,True,Bunceton,247,,4,False,11,Harrisburg,313,False
2012-2013,2012,1,7,Semifinals,3,Oct 4 @6:30 PM,84582,Harrisburg,313,,14,True,Jamestown,326,,0,False,14,Harrisburg,313,False
2012-2013,2012,1,7,Quarterfinals,5,Oct 3 @4:00 PM,84582,Bunceton,247,4,8,True,Otterville,407,5,6,False,2,Harrisburg,313,False
2012-2013,2012,1,7,Quarterfinals,6,Oct 3 @5:30 PM,84582,Harrisburg,313,2,9,True,Prairie Home,420,7,2,False,7,Harrisburg,313,False
2012-2013,2012,1,7,Quarterfinals,7,Oct 3 @7:00 PM,84582,Jamestown,326,3,16,True,Pilot Grove,413,6,1,False,15,Harrisburg,313,False
2012-2013,2012,1,8,Final,1,Oct 6 @5:00 PM,84478,Silex/,440,,6,True,Sturgeon,467,,5,False,1,Silex/,440,False
2012-2013,2012,1,8,Semifinals,2,Oct 4 @5:30 PM,84478,Silex/,440,1,5,True,Madison,351,,0,False,5,Silex/,440,False
2012-2013,2012,1,8,Semifinals,3,Oct 4 @7:00 PM,84478,Sturgeon,467,,9,True,Clopton,271,,3,False,6,Silex/,440,False
2012-2013,2012,1,8,Quarterfinals,5,Oct 3 @7:30 PM,84478,Paris,156,4,0,False,Madison,351,5,3,True,3,Silex/,440,False
2012-2013,2012,1,8,Quarterfinals,6,Oct 3 @4:30 PM,84478,Sturgeon,467,2,11,True,Community,274,7,1,False,10,Silex/,440,False
2012-2013,2012,1,8,Quarterfinals,7,Oct 3 @6:00 PM,84478,Clopton,271,3,6,True,New Haven,378,6,2,False,4,Silex/,440,False
2012-2013,2012,1,9,Final,1,Oct 6 @2:00 PM,84607,Knox County,333,,4,True,Scotland County,434,,3,False,1,Knox County,333,False
2012-2013,2012,1,9,Semifinals,2,Oct 5 @5:00 PM,84607,Knox County,333,1,6,True,Canton,254,,2,False,4,Knox County,333,False
2012-2013,2012,1,9,Semifinals,3,Oct 5 @7:00 PM,84607,Scotland County,434,2,2,True,Brashear,239,,0,False,2,Knox County,333,False
2012-2013,2012,1,9,Quarterfinals,5,Oct 3 @5:00 PM,84607,Canton,254,4,6,True,North Shelby,391,5,3,False,3,Knox County,333,False
2012-2013,2012,1,9,Quarterfinals,7,Oct 3 @7:00 PM,84607,Brashear,239,3,18,True,Marion County,356,6,8,False,10,Knox County,333,False
2012-2013,2012,1,10,Final,1,Oct 6 @1:00 PM,84351,La Plata,336,,10,True,Bevier,214,,4,False,6,La Plata,336,False
2012-2013,2012,1,10,Semifinals,2,Oct 4 @5:30 PM,84351,La Plata,336,1,12,True,Novinger,398,,2,False,10,La Plata,336,False
2012-2013,2012,1,10,Semifinals,3,Oct 4 @7:00 PM,84351,Linn County,346,,6,False,Bevier,214,,16,True,10,La Plata,336,False
2012-2013,2012,1,10,Quarterfinals,5,Oct 3 @5:00 PM,84351,Atlanta,27,4,5,False,Novinger,398,5,13,True,8,La Plata,336,False
2012-2013,2012,1,10,Quarterfinals,6,Oct 3 @6:15 PM,84351,Linn County,346,2,9,True,Green City,305,7,3,False,6,La Plata,336,False
2012-2013,2012,1,10,Quarterfinals,7,Oct 3 @7:30 PM,84351,Bevier,214,3,15,True,Bucklin/Macon County,246,6,0,False,15,La Plata,336,False
2012-2013,2012,1,11,Final,1,Oct 5 @4:30 PM,85298,Salisbury,431,,7,False,Northeast (Cairo),392,,12,True,5,Northeast (Cairo),392,False
2012-2013,2012,1,11,Semifinals,2,Oct 4 @5:00 PM,85298,Salisbury,431,1,7,True,Glasgow,302,,6,False,1,Northeast (Cairo),392,False
2012-2013,2012,1,11,Semifinals,3,Oct 4 @6:30 PM,85298,Westran,233,,4,False,Northeast (Cairo),392,,5,True,1,Northeast (Cairo),392,False
2012-2013,2012,1,11,Quarterfinals,5,Oct 3 @7:00 PM,85298,Glasgow,302,4,6,True,Keytesville,330,5,2,False,4,Northeast (Cairo),392,False
2012-2013,2012,1,11,Quarterfinals,6,Oct 3 @4:00 PM,85298,Westran,233,2,18,True,Higbee,317,7,0,False,18,Northeast (Cairo),392,False
2012-2013,2012,1,11,Quarterfinals,7,Oct 3 @5:30 PM,85298,Northeast (Cairo),392,3,10,True,Slater,193,6,0,False,10,Northeast (Cairo),392,False
2012-2013,2012,1,12,Final,1,Oct 6 @7:00 PM,84372,Brunswick,245,,8,False,Meadville,363,,10,True,2,Meadville,363,False
2012-2013,2012,1,12,Semifinals,2,Oct 4 @6:00 PM,84372,Brunswick,245,1,17,True,Southwest (Livingston County),454,,8,False,9,Meadville,363,False
2012-2013,2012,1,12,Semifinals,3,Oct 4 @7:15 PM,84372,Meadville,363,,8,True,Tina-Avalon,473,,7,False,1,Meadville,363,False
2012-2013,2012,1,12,Quarterfinals,5,Oct 3 @4:30 PM,84372,Southwest (Livingston County),454,4,11,True,Northwestern (Mendon),396,5,0,False,11,Meadville,363,False
2012-2013,2012,1,12,Quarterfinals,6,Oct 3 @5:45 PM,84372,Meadville,363,2,7,True,Hale,309,7,5,False,2,Meadville,363,False
2012-2013,2012,1,12,Quarterfinals,7,Oct 3 @7:00 PM,84372,Tina-Avalon,473,3,15,True,Braymer,240,6,3,False,12,Meadville,363,False
2012-2013,2012,1,13,Final,1,Oct 6 @1:00 PM,84532,Norborne,384,,1,False,DeKalb,265,,4,True,3,DeKalb,265,False
2012-2013,2012,1,13,Semifinals,2,Oct 4 @6:00 PM,84532,Norborne,384,1,10,True,Lone Jack,348,,0,False,10,DeKalb,265,False
2012-2013,2012,1,13,Semifinals,3,Oct 4 @6:00 PM,84532,DeKalb,265,,2,True,Polo,418,,1,False,1,DeKalb,265,False
2012-2013,2012,1,13,Quarterfinals,5,Oct 3 @6:30 PM,84532,Stewartsville/Osborn,462,4,4,False,Lone Jack,348,5,5,True,1,DeKalb,265,False
2012-2013,2012,1,13,Quarterfinals,6,Oct 3 @5:30 PM,84532,DeKalb,265,2,15,True,St. Mary's (Independence),548,7,0,False,15,DeKalb,265,False
2012-2013,2012,1,13,Quarterfinals,7,Oct 3 @5:30 PM,84532,Polo,418,3,10,True,Hardin-Central,312,6,0,False,10,DeKalb,265,False
2012-2013,2012,1,14,Final,1,Oct 6 @1:30 PM,83818,King City,331,,9,True,Maysville,361,,3,False,6,King City,331,False
2012-2013,2012,1,14,Semifinals,2,Oct 4 @5:30 PM,83818,King City,331,1,13,True,Pattonsburg/North Daviess,409,,3,False,10,King City,331,False
2012-2013,2012,1,14,Semifinals,3,Oct 4 @7:30 PM,83818,Maysville,361,,7,True,North Andrew,385,,6,False,1,King City,331,False
2012-2013,2012,1,14,Quarterfinals,5,Oct 3 @4:30 PM,83818,Pattonsburg/North Daviess,409,4,12,True,Winston,503,5,2,False,10,King City,331,False
2012-2013,2012,1,14,Quarterfinals,6,Oct 3 @6:00 PM,83818,Maysville,361,2,15,True,Gilman City,301,7,0,False,15,King City,331,False
2012-2013,2012,1,14,Quarterfinals,7,Oct 3 @7:30 PM,83818,North Andrew,385,3,19,True,Tri-County,475,6,0,False,19,King City,331,False
2012-2013,2012,1,15,Final,1,Oct 6 @10:00 AM,84558,North Harrison,387,,9,True,Princeton,421,,5,False,4,North Harrison,387,False
2012-2013,2012,1,15,Semifinals,2,Oct 5 @5:30 PM,84558,North Harrison,387,1,17,True,Newtown-Harris,380,,2,False,15,North Harrison,387,False
2012-2013,2012,1,15,Semifinals,3,Oct 5 @7:00 PM,84558,Princeton,421,,8,True,Mercer,364,,4,False,4,North Harrison,387,False
2012-2013,2012,1,15,Quarterfinals,5,Oct 3 @5:30 PM,84558,Newtown-Harris,380,4,10,True,Grundy County,308,5,9,False,1,North Harrison,387,False
2012-2013,2012,1,15,Quarterfinals,6,Oct 3 @6:30 PM,84558,,,,,,,,,,,,North Harrison,387,True
2012-2013,2012,1,15,Quarterfinals,7,Oct 3 @7:00 PM,84558,Mercer,364,3,11,True,Cainsville,250,6,6,False,5,North Harrison,387,False
2012-2013,2012,1,16,Final,1,Oct 6 @11:00 AM,84716,Stanberry,460,,1,True,Jefferson (Conception),328,,0,False,1,Stanberry,460,False
2012-2013,2012,1,16,Semifinals,2,Oct 4 @5:30 PM,84716,Stanberry,460,1,10,True,Worth County,505,,0,False,10,Stanberry,460,False
2012-2013,2012,1,16,Semifinals,3,Oct 4 @7:15 PM,84716,Jefferson (Conception),328,,10,True,Albany,7,,0,False,10,Stanberry,460,False
2012-2013,2012,1,16,Quarterfinals,5,Oct 3 @7:30 PM,84716,Worth County,505,4,3,True,South Nodaway,449,5,1,False,2,Stanberry,460,False
2012-2013,2012,1,16,Quarterfinals,6,Oct 3 @4:30 PM,84716,Jefferson (Conception),328,2,15,True,Northeast Nodaway,393,7,0,False,15,Stanberry,460,False
2012-2013,2012,1,16,Quarterfinals,7,Oct 3 @6:00 PM,84716,Albany,7,3,14,True,North Nodaway,388,6,4,False,10,Stanberry,460,False
2012-2013,2012,2,1,Final,1,Oct 5 @2:00 PM,84942,Kelly,88,,3,True,St. Vincent,554,,2,False,1,Kelly,88,False
2012-2013,2012,2,1,Semifinals,2,Oct 4 @2:00 PM,84942,Kelly,88,1,2,True,Saxony Lutheran,555,,0,False,2,Kelly,88,False
2012-2013,2012,2,1,Semifinals,3,Oct 4 @4:00 PM,84942,St. Vincent,554,,5,True,Portageville,419,,3,False,2,Kelly,88,False
2012-2013,2012,2,1,Quarterfinals,5,Oct 3 @12:00 PM,84942,Saxony Lutheran,555,4,9,True,Chaffee,257,5,3,False,6,Kelly,88,False
2012-2013,2012,2,1,Quarterfinals,6,Oct 3 @2:00 PM,84942,St. Vincent,554,2,18,True,East Prairie,48,7,3,False,15,Kelly,88,False
2012-2013,2012,2,1,Quarterfinals,7,Oct 3 @4:00 PM,84942,Scott City,435,3,3,False,Portageville,419,6,4,True,1,Kelly,88,False
2012-2013,2012,2,2,Final,1,Oct 4 @8:00 PM,85201,Twin Rivers,199,,7,True,Clearwater,264,,6,False,1,Twin Rivers,199,False
2012-2013,2012,2,2,Semifinals,2,Oct 4 @4:00 PM,85201,Twin Rivers,199,1,8,True,Alton,8,,2,False,6,Twin Rivers,199,False
2012-2013,2012,2,2,Semifinals,3,Oct 4 @6:00 PM,85201,East Carter,276,2,4,False,Clearwater,264,,15,True,11,Twin Rivers,199,False
2012-2013,2012,2,2,Quarterfinals,5,Oct 3 @2:00 PM,85201,Alton,8,4,3,True,Greenville,307,5,2,False,1,Twin Rivers,199,False
2012-2013,2012,2,2,Quarterfinals,7,Oct 3 @12:00 PM,85201,Clearwater,264,3,15,True,Puxico,422,6,0,False,15,Twin Rivers,199,False
2012-2013,2012,2,3,Final,1,Oct 8 @4:30 PM,84595,Willow Springs,498,,6,False,Houston,321,,17,True,11,Houston,321,False
2012-2013,2012,2,3,Semifinals,2,Oct 4 @4:00 PM,84595,Willow Springs,498,1,12,True,Mountain Grove,372,,2,False,10,Houston,321,False
2012-2013,2012,2,3,Semifinals,3,Oct 4 @6:00 PM,84595,Houston,321,2,8,True,Gainesville,297,,6,False,2,Houston,321,False
2012-2013,2012,2,3,Quarterfinals,5,Oct 3 @4:00 PM,84595,Mountain Grove,372,4,12,True,Liberty (Mountain View),343,5,11,False,1,Houston,321,False
2012-2013,2012,2,3,Quarterfinals,7,Oct 3 @6:00 PM,84595,Gainesville,297,3,10,True,Plato,414,6,0,False,10,Houston,321,False
2012-2013,2012,2,4,Final,1,Oct 6 @1:00 PM,84004,Hartville,314,,15,True,Forsyth,62,,0,False,15,Hartville,314,False
2012-2013,2012,2,4,Semifinals,2,Oct 4 @4:00 PM,84004,Hartville,314,1,11,True,Seymour,437,,1,False,10,Hartville,314,False
2012-2013,2012,2,4,Semifinals,3,Oct 4 @6:00 PM,84004,Forsyth,62,2,7,True,Mansfield,353,,1,False,6,Hartville,314,False
2012-2013,2012,2,4,Quarterfinals,5,Oct 3 @4:00 PM,84004,Seymour,437,4,20,True,Sparta,456,5,5,False,15,Hartville,314,False
2012-2013,2012,2,4,Quarterfinals,7,Oct 3 @6:00 PM,84004,Mansfield,353,3,11,True,Fordland,295,6,0,False,11,Hartville,314,False
2012-2013,2012,2,5,Final,1,Oct 5 @4:00 PM,84373,College Heights Christian/McAuley Catholic,574,,0,False,Pierce City,412,,8,True,8,Pierce City,412,False
2012-2013,2012,2,5,Semifinals,2,Oct 4 @4:00 PM,84373,College Heights Christian/McAuley Catholic,574,1,9,True,Diamond,270,,7,False,2,Pierce City,412,False
2012-2013,2012,2,5,Semifinals,3,Oct 4 @6:00 PM,84373,Pierce City,412,2,7,True,Purdy,173,,6,False,1,Pierce City,412,False
2012-2013,2012,2,5,Quarterfinals,5,Oct 3 @4:00 PM,84373,Southwest (Washburn),455,4,8,False,Diamond,270,5,10,True,2,Pierce City,412,False
2012-2013,2012,2,5,Quarterfinals,7,Oct 3 @6:00 PM,84373,Purdy,173,3,9,True,Sarcoxie,433,6,4,False,5,Pierce City,412,False
2012-2013,2012,2,6,Final,1,Oct 5 @4:30 PM,84132,Lamar,110,,2,True,Archie,22,,1,False,1,Lamar,110,False
2012-2013,2012,2,6,Semifinals,2,Oct 4 @4:00 PM,84132,Lamar,110,1,11,True,Sherwood,439,,1,False,10,Lamar,110,False
2012-2013,2012,2,6,Semifinals,3,Oct 4 @5:30 PM,84132,Stockton,463,,6,False,Archie,22,,7,True,1,Lamar,110,False
2012-2013,2012,2,6,Quarterfinals,5,Oct 3 @4:00 PM,84132,Sherwood,439,4,5,True,Adrian,3,5,3,False,2,Lamar,110,False
2012-2013,2012,2,6,Quarterfinals,6,Oct 3 @5:30 PM,84132,Stockton,463,2,7,True,Butler,249,7,0,False,7,Lamar,110,False
2012-2013,2012,2,6,Quarterfinals,7,Oct 3 @7:00 PM,84132,Archie,22,3,11,True,El Dorado Springs,277,6,8,False,3,Lamar,110,False
2012-2013,2012,2,7,Final,1,Oct 8 @4:30 PM,84179,Pleasant Hope,417,,10,True,Marionville,357,,0,False,10,Pleasant Hope,417,False
2012-2013,2012,2,7,Semifinals,2,Oct 4 @4:00 PM,84179,Pleasant Hope,417,1,4,True,Marion C. Early,355,,0,False,4,Pleasant Hope,417,False
2012-2013,2012,2,7,Semifinals,3,Oct 4 @6:00 PM,84179,Marionville,357,,11,True,Ash Grove,24,,1,False,10,Pleasant Hope,417,False
2012-2013,2012,2,7,Quarterfinals,5,Oct 3 @5:30 PM,84179,Marion C. Early,355,4,11,True,Strafford,466,5,0,False,11,Pleasant Hope,417,False
2012-2013,2012,2,7,Quarterfinals,6,Oct 3 @7:30 PM,84179,Marionville,357,2,15,True,Crane,287,7,0,False,15,Pleasant Hope,417,False
2012-2013,2012,2,7,Quarterfinals,7,Oct 3 @3:30 PM,84179,Fair Grove,290,3,12,False,Ash Grove,24,6,13,True,1,Pleasant Hope,417,False
2012-2013,2012,2,8,Final,1,Oct 9 @5:00 PM,84515,Iberia,325,,5,True,Dixon,273,,3,False,2,Iberia,325,False
2012-2013,2012,2,8,Semifinals,2,Oct 6 @2:00 PM,84515,Iberia,325,1,7,True,Vienna,487,,4,False,3,Iberia,325,False
2012-2013,2012,2,8,Semifinals,3,Oct 8 @5:00 PM,84515,Conway,280,,6,False,Dixon,273,,10,True,4,Iberia,325,False
2012-2013,2012,2,8,Quarterfinals,5,Oct 3 @5:00 PM,84515,Vienna,487,4,6,True,Skyline,443,5,3,False,3,Iberia,325,False
2012-2013,2012,2,8,Quarterfinals,6,Oct 4 @4:30 PM,84515,Conway,280,2,15,True,Richland,181,7,0,False,15,Iberia,325,False
2012-2013,2012,2,8,Quarterfinals,7,Oct 4 @6:30 PM,84515,Dixon,273,3,6,True,Laquey,581,6,0,False,6,Iberia,325,False
2012-2013,2012,2,9,Final,1,Oct 8 @5:00 PM,84575,South Callaway,197,,14,True,Belle,212,,1,False,13,South Callaway,197,False
2012-2013,2012,2,9,Semifinals,2,Oct 4 @4:30 PM,84575,South Callaway,197,1,5,True,Cuba,289,,4,False,1,South Callaway,197,False
