season_label,year,class,district,round,game_num,date_time,tournament_id,team1,team1_id,team1_seed,team1_score,team1_winner,team2,team2_id,team2_seed,team2_score,team2_winner,margin,champion,champion_id,incomplete
2012-2013,2012,1,1,Final,1,May 14 @5:00 PM,97734,Saxony Lutheran,555,,0,False,St. Pius X (Festus),552,,1,True,1,St. Pius X (Festus),552,False
2012-2013,2012,1,1,Semifinals,2,May 11 @12:30 PM,97734,Saxony Lutheran,555,1,7,True,Fredericktown,79,4,0,False,7,St. Pius X (Festus),552,False
2012-2013,2012,1,1,Semifinals,3,May 11 @11:00 AM,97734,St. Pius X (Festus),552,2,2,True,St. Vincent,554,3,0,False,2,St. Pius X (Festus),552,False
2012-2013,2012,1,2,Final,1,May 16 @5:00 PM,97565,Notre Dame (St. Louis),535,,10,True,Bayless,10,,0,False,10,Notre Dame (St. Louis),535,False
2012-2013,2012,1,2,Semifinals,2,May 14 @4:00 PM,97565,Notre Dame (St. Louis),535,1,14,True,Hancock,148,,0,False,14,Notre Dame (St. Louis),535,False
2012-2013,2012,1,2,Semifinals,3,May 14 @5:30 PM,97565,St. Elizabeth Academy,543,2,2,False,Bayless,10,3,3,True,1,Notre Dame (St. Louis),535,False
2012-2013,2012,1,2,Quarterfinals,5,May 13 @4:30 PM,97565,Hancock,148,4,3,True,Carnahan,777,5,2,False,1,Notre Dame (St. Louis),535,False
2012-2013,2012,1,3,Final,1,May 15 @4:00 PM,97694,John F. Kennedy,525,,1,True,Whitfield,565,,0,False,1,John F. Kennedy,525,False
2012-2013,2012,1,3,Semifinals,2,May 13 @3:30 PM,97694,John F. Kennedy,525,1,5,True,Barat Academy,781,,0,False,5,John F. Kennedy,525,False
2012-2013,2012,1,3,Semifinals,3,May 13 @5:30 PM,97694,Principia,538,2,0,False,Whitfield,565,3,1,True,1,John F. Kennedy,525,False
2012-2013,2012,1,3,Quarterfinals,5,May 11 @2:00 PM,97694,Barat Academy,781,4,7,True,Valley Park,481,5,0,False,7,John F. Kennedy,525,False
2012-2013,2012,1,4,Final,1,May 17 @4:00 PM,97604,Crossroads College Preparatory,516,,0,False,John Burroughs,524,,4,True,4,John Burroughs,524,False
2012-2013,2012,1,4,Semifinals,2,May 16 @4:00 PM,97604,Crossroads College Preparatory,516,1,1,True,Maplewood-Richmond Hts.,106,,0,False,1,John Burroughs,524,False
2012-2013,2012,1,4,Semifinals,3,May 16 @6:00 PM,97604,John Burroughs,524,2,5,True,Brentwood,19,3,0,False,5,John Burroughs,524,False
2012-2013,2012,1,4,Quarterfinals,5,May 13 @4:00 PM,97604,Maplewood-Richmond Hts.,106,4,7,True,Cleveland NJROTC,61,5,0,False,7,John Burroughs,524,False
2012-2013,2012,1,5,Final,1,May 14 @4:15 PM,97558,Lutheran North,529,,7,True,Metro/McKinley Classical Leadership,125,,1,False,6,Lutheran North,529,False
2012-2013,2012,1,5,Semifinals,2,May 13 @4:15 PM,97558,Lutheran North,529,1,10,True,Transportation and Law/Beaumont,776,,0,False,10,Lutheran North,529,False
