season_label,year,class,district,round,game_num,date_time,tournament_id,team1,team1_id,team1_seed,team1_score,team1_winner,team2,team2_id,team2_seed,team2_score,team2_winner,margin,champion,champion_id,incomplete
2012-2013,2012,1,1,Final,1,Oct 23 @7:30 PM,85408,Gideon,300,,2,True,Cooter,281,,1,False,1,Gideon,300,False
2012-2013,2012,1,1,Semifinals,2,Oct 23 @5:00 PM,85408,Gideon,300,1,2,True,Southland,453,,0,False,2,Gideon,300,False
2012-2013,2012,1,1,Semifinals,3,Oct 23 @6:15 PM,85408,South Pemiscot,450,,0,False,Cooter,281,,2,True,2,Gideon,300,False
2012-2013,2012,1,1,Quarterfinals,5,Oct 22 @5:00 PM,85408,Southland,453,4,2,True,Holcomb,319,5,1,False,1,Gideon,300,False
2012-2013,2012,1,1,Quarterfinals,6,Oct 22 @6:15 PM,85408,South Pemiscot,450,2,2,True,Delta (Deering),266,7,0,False,2,Gideon,300,False
2012-2013,2012,1,1,Quarterfinals,7,Oct 22 @7:30 PM,85408,Cooter,281,3,2,True,North Pemiscot,389,6,0,False,2,Gideon,300,False
2012-2013,2012,1,2,Final,1,Oct 23 @6:30 PM,85345,Bernie,213,,2,True,Bloomfield,219,,0,False,2,Bernie,213,False
2012-2013,2012,1,2,Semifinals,2,Oct 22 @7:00 PM,85345,Bernie,213,1,2,True,Bell City,211,,0,False,2,Bernie,213,False
2012-2013,2012,1,2,Semifinals,3,Oct 22 @8:00 PM,85345,Bloomfield,219,,2,True,Clarkton,262,,0,False,2,Bernie,213,False
2012-2013,2012,1,2,Quarterfinals,5,Oct 22 @4:00 PM,85345,Richland (Essex),425,4,0,False,Bell City,211,5,2,True,2,Bernie,213,False
2012-2013,2012,1,2,Quarterfinals,6,Oct 22 @5:00 PM,85345,Bloomfield,219,2,2,True,Risco,428,7,0,False,2,Bernie,213,False
2012-2013,2012,1,2,Quarterfinals,7,Oct 22 @6:00 PM,85345,Clarkton,262,3,2,True,Campbell,253,6,1,False,1,Bernie,213,False
2012-2013,2012,1,3,Final,1,Oct 23 @8:00 PM,85498,Lesterville,341,,2,True,South Iron,448,,0,False,2,Lesterville,341,False
2012-2013,2012,1,3,Semifinals,2,Oct 23 @6:00 PM,85498,Lesterville,341,1,2,True,Zalma,507,,0,False,2,Lesterville,341,False
2012-2013,2012,1,3,Semifinals,3,Oct 23 @7:00 PM,85498,South Iron,448,2,2,True,Greenville,307,,0,False,2,Lesterville,341,False
2012-2013,2012,1,3,Quarterfinals,5,Oct 22 @6:00 PM,85498,Marquand-Zion,359,4,1,False,Zalma,507,5,2,True,1,Lesterville,341,False
2012-2013,2012,1,3,Quarterfinals,7,Oct 22 @7:00 PM,85498,Greenville,307,3,2,True,Ellington,452,6,0,False,2,Lesterville,341,False
2012-2013,2012,1,4,Final,1,Oct 23 @6:00 PM,85284,Advance,6,,2,True,St. Vincent,554,,0,False,2,Advance,6,False
2012-2013,2012,1,4,Semifinals,2,Oct 22 @6:00 PM,85284,Advance,6,1,2,True,Meadow Heights,362,,0,False,2,Advance,6,False
2012-2013,2012,1,4,Semifinals,3,Oct 22 @7:15 PM,85284,Leopold,340,2,0,False,St. Vincent,554,,2,True,2,Advance,6,False
