filename,status,output,bg_fraction,slug
Adrian Logo.jpg,bg_removal_uncertain,,0.011,adrian
Advance Logo.jpg,processed,matched/advance.png,0.709,advance
Affton Logo.jpg,processed,matched/affton.png,0.344,affton
Albany Logo.jpg,processed,matched/albany.png,0.33,albany
Alton Logo.jpg,processed,matched/alton.png,0.862,alton
Appleton City Logo.jpg,processed,matched/appleton-city.png,0.422,appleton-city
Arcadia Valley Logo.jpg,processed,matched/arcadia-valley.png,0.212,arcadia-valley
Archie Logo.jpg,processed,matched/archie.png,0.6,archie
Ash Grove Logo.jpg,processed,matched/ash-grove.png,0.464,ash-grove
Atlanta Logo.jpg,processed,matched/atlanta.png,0.469,atlanta
Aurora Logo.jpg,processed,matched/aurora.png,0.572,aurora
Ava Logo.jpg,processed,matched/ava.png,0.18,ava
Bakersfield Logo.jpg,processed,matched/bakersfield.png,0.337,bakersfield
Barstow Logo.jpg,processed,matched/barstow.png,0.409,barstow
Battle Logo.jpg,processed,matched/battle.png,0.658,battle
Bayless Logo.jpg,processed,matched/bayless.png,0.515,bayless
Bell City Logo.jpg,processed,matched/bell-city.png,0.699,bell-city
Belle Logo.jpg,processed,matched/belle.png,0.461,belle
Belton Logo.jpg,processed,matched/belton.png,0.53,belton
Benton Logo.jpg,processed,matched/benton.png,0.686,benton
Bernie Logo.jpg,processed,matched/bernie.png,0.455,bernie
Bevier Logo.jpg,processed,matched/bevier.png,0.666,bevier
Billings Logo.jpg,processed,matched/billings.png,0.522,billings
Bishop DuBourg Logo.jpg,processed,matched/bishop-dubourg.png,0.628,bishop-dubourg
Bishop LeBlond Logo.jpg,processed,matched/bishop-leblond.png,0.702,bishop-leblond
Bismarck Logo.jpg,processed,matched/bismarck.png,0.674,bismarck
Blair Oaks Logo.jpg,processed,matched/blair-oaks.png,0.757,blair-oaks
Bloomfield Logo.jpg,processed,matched/bloomfield.png,0.575,bloomfield
Blue Eye Logo.jpg,processed,matched/blue-eye.png,0.374,blue-eye
Blue Springs Logo.jpg,processed,matched/blue-springs.png,0.483,blue-springs
Blue Springs South Logo.jpg,processed,matched/blue-springs-south.png,0.799,blue-springs-south
Bolivar Logo.jpg,processed,matched/bolivar.png,0.241,bolivar
Boonville Logo.jpg,processed,matched/boonville.png,0.745,boonville
Bourbon Logo.jpg,processed,matched/bourbon.png,0.63,bourbon
Bowling Green Logo.jpg,processed,matched/bowling-green.png,0.452,bowling-green
Bradleyville Logo.jpg,processed,matched/bradleyville.png,0.596,bradleyville
Branson Logo.jpg,processed,matched/branson.png,0.752,branson
Brashear Logo.jpg,processed,matched/brashear.png,0.373,brashear
Braymer Logo.jpg,processed,matched/braymer.png,0.268,braymer
Breckenridge Logo.jpg,processed_no_slug,needs_review/UNMATCHED_Breckenridge_Logo.png,0.318,
Brentwood Logo.jpg,processed,matched/brentwood.png,0.209,brentwood
Bronaugh Logo.jpg,processed,matched/bronaugh.png,0.446,bronaugh
Brookfield Logo.jpg,processed,matched/brookfield.png,0.551,brookfield
Brunswick Logo.jpg,processed,matched/brunswick.png,0.338,brunswick
Buffalo Logo.jpg,processed,matched/buffalo.png,0.389,buffalo
Bunceton Logo.jpg,processed,matched/bunceton.png,0.56,bunceton
Bunker Logo.jpg,processed,matched/bunker.png,0.591,bunker
Butler Logo.jpg,processed,matched/butler.png,0.674,butler
CBC Logo.jpg,processed,matched/christian-brothers-college.png,0.491,christian-brothers-college
Cabool Logo.jpg,processed,matched/cabool.png,0.633,cabool
Cainsville Logo.jpg,processed,matched/cainsville.png,0.287,cainsville
California Logo.jpg,processed,matched/california.png,0.742,california
Calvary Lutheran Logo.jpg,bg_removal_uncertain,,0.006,calvary-lutheran
Camdenton Logo.jpg,processed,matched/camdenton.png,0.405,camdenton
Cameron Logo.jpg,processed,matched/cameron.png,0.363,cameron
Campbell Logo.jpg,processed,matched/campbell.png,0.175,campbell
Canton Logo.jpg,processed,matched/canton.png,0.418,canton
Capital City Logo.jpg,processed,matched/capital-city.png,0.285,capital-city
Cardinal Ritter Logo.jpg,processed,matched/cardinal-ritter.png,0.554,cardinal-ritter
Carl Junction Logo.jpg,processed,matched/carl-junction.png,0.301,carl-junction
Carrollton Logo.jpg,processed,matched/carrollton.png,0.323,carrollton
Carthage Logo.jpg,processed,matched/carthage.png,0.373,carthage
Caruthersville Logo.jpg,processed,matched/caruthersville.png,0.347,caruthersville
Cassville Logo.jpg,processed,matched/cassville.png,0.543,cassville
Center Logo.jpg,processed,matched/center.png,0.295,center
Central Cape Girardeau Logo.jpg,processed,matched/central-cape-girardeau.png,0.59,central-cape-girardeau
Central Kansas City Logo.jpg,processed,matched/central-kansas-city.png,0.567,central-kansas-city
Central New Madrid County Logo.jpg,processed,matched/central-new-madrid-county.png,0.81,central-new-madrid-county
Central Park Hills Logo.jpg,processed,matched/central-park-hills.png,0.353,central-park-hills
Central Springfield Logo.jpg,processed,matched/central-springfield.png,0.418,central-springfield
